"DATA","CASA","PROMOÇÃO/OBJETIVO","UTMs / PIDs","LUCRO/PREJUIZO","ROAS","ENTREGUES","LIDAS","CUSTO","CONV","CONV ftd","C.REG","C.FTD","REGISTROS","FTD","CPAS","CPA ","REG > FTD","FTD > CPA"
"12/07","MGMBET","[11/07] DISP TOTAL 12/07 BASE VAIDEBET D3","13547","R$ 95,94","1,58","1.262,00","619,00","R$ 164,06","0,24%","0,08%","R$ 54,69","R$ 164,06","3,00","1,00","1,00","R$ 260,00","33,33%","100,00%"
"12/07","MGMBET","[11/07] DISP TOTAL 12/07 BASE BETESPORTE D3","13540","R$ -129,74","0,00","998,00","443,00","R$ 129,74","1,00%","0,40%","R$ 12,97","R$ 32,44","10,00","4,00","0,00","R$ 0,00","40,00%","0,00%"
"12/07","SuperBet","[11/07] DISP TOTAL 12/07 BASE MGM D5","pilhado-disp-traf-mgm-d5-sb","R$ -166,27","0,00","1.279,00","529,00","R$ 166,27","0,08%","0,00%","R$ 166,27","R$ 0,00","1,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"12/07","SuperBet","[11/07] DISP TOTAL 12/07 BASE SB D5","pilhado-disp-sb-d5","R$ -167,05","0,00","1.285,00","615,00","R$ 167,05","0,31%","0,23%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"13/07","SuperBet","[13/07] DISP TOTAL 13/07 BASE SB D1","pilhado-disp-traf-sb-d1","R$ -110,63","0,00","851,00","513,00","R$ 110,63","0,71%","0,24%","R$ 18,44","R$ 55,32","6,00","2,00","0,00","R$ 0,00","33,33%","0,00%"
"13/07","MGMBET","[13/07] DISP TOTAL 13/07 BASE SB D3","13398","R$ 143,13","2,22","899,00","500,00","R$ 116,87","1,67%","0,78%","R$ 7,79","R$ 16,70","15,00","7,00","1,00","R$ 260,00","46,67%","14,29%"
"13/07","MGMBET","[13/07] DISP TOTAL 13/07 BASE MGM D3","13538","R$ -86,19","0,00","663,00","321,00","R$ 86,19","0,90%","0,30%","R$ 14,37","R$ 43,10","6,00","2,00","0,00","R$ 0,00","33,33%","0,00%"
"13/07","MGMBET","[13/07] DISP TOTAL 13/07 BASE BETE D3","13540","R$ -17,94","0,00","138,00","72,00","R$ 17,94","2,17%","0,72%","R$ 5,98","R$ 17,94","3,00","1,00","0,00","R$ 0,00","33,33%","0,00%"
"13/07","SuperBet","[13/07] DISP TOTAL 13/07 BASE SB D5","pilhado-disp-sb-d5","R$ -113,75","0,00","875,00","463,00","R$ 113,75","0,23%","0,23%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"13/07","SuperBet","[13/07] DISP TOTAL 13/07 BASE MGM D5","pilhado-disp-traf-mgm-d5-sb","R$ -113,36","0,00","872,00","398,00","R$ 113,36","0,34%","0,11%","R$ 37,79","R$ 113,36","3,00","1,00","0,00","R$ 0,00","33,33%","0,00%"
