DATA,CASA,UTM/PID,PROMOÇÃO/OBJETIVO,LUCRO/PREJUIZO,ROAS,ENTREGUES,LIDAS,CLIQUES,TX LIDAS,TX CLIQUES,CUSTO,CONV,CONV ftd,C.REG,C.FTD,REGISTROS,FTD,CPAS,CPA 
20/06,SuperBet,pilhado-disp-traf-esp-d7,[19/06] D7 20/06 BASE ESP,"R$ 2.307,25","2,93","9.175,00","5.085,00",,"55,42%","0,00%","R$ 1.192,75","0,36%","0,11%","R$ 36,14","R$ 119,28","33,00","11,00","8,00",
20/06,SuperBet,pilhado-disp-traf-bete-d7,[19/06] D7 20/06 BASE BETE,"-R$ 716,52","0,58","13.204,00","7.397,00",,"56,02%","0,00%","R$ 1.716,52","0,12%","0,05%","R$ 107,28","R$ 286,09","16,00","7,00","3,00",
21/06,SuperBet,pilhado-disp-traf-bs-sb-d1,[20/06] D1 21/06 BASE SB,"R$ 2.935,52","46,53","496,00","354,00",,"71,37%","0,00%","R$ 64,48","2,22%","1,41%","R$ 5,86","R$ 9,21","0,00","0,00","0,00",
21/06,SuperBet,pilhado-disp-traf-king-d1,[20/06] D1 21/06 BASE KING,"R$ 7.234,67","28,27","2.041,00","1.332,00",,"65,26%","0,00%","R$ 265,33","1,91%","0,64%","R$ 6,80","R$ 20,41","39,00","13,00","15,00",
21/06,SuperBet,pilhado-disp-traf-mgm-d3,[20/06] D3 21/06 BASE MGM,"R$ 1.796,94","9,85","1.562,00","964,00",,"61,72%","0,00%","R$ 203,06","1,28%","0,32%","R$ 10,15","R$ 40,61","20,00","6,00","5,00",
21/06,SuperBet,pilhado-disp-traf-bete-d3,[20/06] D3 21/06 BASE BETE,"-R$ 62,53","0,00","481,00","316,00",,"65,70%","0,00%","R$ 62,53","1,04%","0,21%","R$ 12,51","R$ 62,53","5,00","1,00","0,00",
21/06,SuperBet,pilhado-disp-traf-sb-d5,[20/06] D5 21/06 BASE SB,"R$ 360,12","3,57","1.076,00","637,00",,"59,20%","0,00%","R$ 139,88","0,28%","0,09%","R$ 46,63","R$ 139,88","3,00","1,00","1,00",
21/06,SuperBet,pilhado-disp-traf-mgm-d7,[20/06] D7 21/06 BASE MGM,"R$ 212,70","1,74","2.210,00","1.264,00",,"57,19%","0,00%","R$ 287,30","0,45%","0,14%","R$ 28,73","R$ 95,77","10,00","3,00","1,00",
22/06,SuperBet,pilhado-disp-traf-king-d1,[21/06] D1 22/06 BASE KING,"R$ 9.156,17","11,85","6.491,00","4.246,00",,"65,41%","0,00%","R$ 843,83","1,22%","0,52%","R$ 10,68","R$ 24,82","79,00","34,00","20,00",
22/06,SuperBet,pilhado-disp-traf-mgm-d1,[21/06] D1 22/06 BASE MGM,"R$ 7.157,06","21,87","2.638,00","1.948,00",,"73,84%","0,00%","R$ 342,94","2,81%","1,25%","R$ 4,63","R$ 10,39","74,00","33,00","15,00",
